epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.054,0.88128,1.23081,0.87096,0.71417,0.74773,0.72023,0.57279,0.79289,1.41324,0.85382,0.000329588,0.000329588,0.000329588
2,86.5671,0.82925,0.60619,0.85308,0.79401,0.80571,0.81144,0.64748,0.86842,3.51299,0.88257,0.000651983,0.000651983,0.000651983
3,128.554,0.83015,0.54355,0.85358,0.97939,0.93747,0.9879,0.78216,0.77337,0.41246,0.84344,0.000963378,0.000963378,0.000963378
4,170.634,0.82839,0.52199,0.85314,0.9598,0.94148,0.98618,0.81147,0.69695,0.43645,0.831,0.0009505,0.0009505,0.0009505
5,212.818,0.79566,0.46647,0.84469,0.92134,0.87892,0.96373,0.7801,0.73006,0.51208,0.83626,0.000934,0.000934,0.000934
6,254.888,0.77351,0.43383,0.84407,0.9535,0.94096,0.97285,0.78265,0.73391,0.42314,0.83575,0.0009175,0.0009175,0.0009175
7,296.805,0.78551,0.42191,0.84303,0.99416,0.94177,0.98984,0.79722,0.75497,0.3738,0.84089,0.000901,0.000901,0.000901
8,338.847,0.76267,0.40655,0.83818,0.98467,0.96317,0.99328,0.79916,0.76532,0.36369,0.84461,0.0008845,0.0008845,0.0008845
9,380.853,0.76456,0.41961,0.84146,0.9791,0.95275,0.99141,0.77705,0.82949,0.38669,0.85476,0.000868,0.000868,0.000868
10,423.201,0.77888,0.4062,0.84335,0.97406,0.97062,0.99325,0.80942,0.73232,0.35942,0.83284,0.0008515,0.0008515,0.0008515
11,465.311,0.76946,0.40842,0.8423,0.97269,0.95166,0.99202,0.8199,0.68334,0.35517,0.83122,0.000835,0.000835,0.000835
12,507.6,0.74922,0.38421,0.83752,0.98982,0.96159,0.9931,0.82676,0.67711,0.34027,0.82501,0.0008185,0.0008185,0.0008185
13,550,0.73924,0.37596,0.83709,0.9826,0.97324,0.99388,0.82611,0.68491,0.31998,0.82724,0.000802,0.000802,0.000802
14,592.12,0.73002,0.35699,0.8345,0.97298,0.98431,0.99388,0.83372,0.66078,0.31249,0.82235,0.0007855,0.0007855,0.0007855
15,634.553,0.7211,0.35184,0.83029,0.98235,0.98057,0.99409,0.83503,0.65819,0.31198,0.82259,0.000769,0.000769,0.000769
16,676.837,0.7154,0.34596,0.83292,0.99027,0.97682,0.99429,0.83468,0.66138,0.30978,0.82016,0.0007525,0.0007525,0.0007525
17,719.158,0.7005,0.33804,0.83127,0.98614,0.97774,0.99183,0.8342,0.66328,0.31583,0.82261,0.000736,0.000736,0.000736
18,762.147,0.70122,0.34114,0.82844,0.98329,0.98692,0.99319,0.8256,0.70468,0.3189,0.82814,0.0007195,0.0007195,0.0007195
19,805.252,0.69894,0.3394,0.82946,0.9868,0.97656,0.99307,0.82949,0.66902,0.30863,0.82338,0.000703,0.000703,0.000703
20,848.071,0.68776,0.33828,0.82917,0.98309,0.97749,0.99401,0.83476,0.65622,0.3147,0.82131,0.0006865,0.0006865,0.0006865
21,890.976,0.69458,0.33846,0.83225,0.98718,0.97411,0.99399,0.83339,0.67566,0.31248,0.82476,0.00067,0.00067,0.00067
22,933.818,0.69394,0.33085,0.82655,0.98778,0.98955,0.99469,0.83262,0.68569,0.30622,0.82418,0.0006535,0.0006535,0.0006535
23,976.686,0.68247,0.31845,0.82502,0.98612,0.98959,0.99452,0.83383,0.66643,0.30109,0.82258,0.000637,0.000637,0.000637
24,1021.31,0.67456,0.31827,0.82713,0.99113,0.982,0.99453,0.83104,0.67938,0.29543,0.82455,0.0006205,0.0006205,0.0006205
25,1069.99,0.67255,0.3224,0.82456,0.99245,0.98002,0.99303,0.83091,0.67719,0.30644,0.82527,0.000604,0.000604,0.000604
26,1116.64,0.66846,0.31986,0.82768,0.99686,0.97834,0.99437,0.84121,0.64926,0.29183,0.81894,0.0005875,0.0005875,0.0005875
27,1158.29,0.65855,0.31206,0.82204,0.98336,0.99331,0.99414,0.83461,0.67727,0.29263,0.8215,0.000571,0.000571,0.000571
28,1190.43,0.65259,0.30996,0.82432,0.99182,0.98237,0.99467,0.84162,0.66288,0.29325,0.82111,0.0005545,0.0005545,0.0005545
