epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4708,1.14102,3.5493,0.909,0.02682,0.65701,0.13255,0.07025,0.88047,3.85917,0.82646,0.00021,0.00021,0.00021
2,23.7265,0.95701,1.42432,0.85285,0.04096,0.9141,0.5296,0.39804,0.75779,3.2014,0.83348,0.000425743,0.000425743,0.000425743
3,34.6261,0.89706,1.01023,0.85658,0.66667,0.26483,0.77338,0.62422,0.7647,2.49916,0.84368,0.00063713,0.00063713,0.00063713
4,44.7484,0.86437,0.78743,0.85451,0.88769,0.46786,0.70246,0.54496,0.85506,2.20655,0.85835,0.000844161,0.000844161,0.000844161
5,56.0952,0.8664,0.70453,0.85258,0.9548,0.97951,0.98604,0.75973,0.84337,0.82931,0.8598,0.0009604,0.0009604,0.0009604
6,67.7813,0.86051,0.66784,0.85284,0.96939,0.98148,0.99017,0.78523,0.78689,0.62039,0.85278,0.0009505,0.0009505,0.0009505
7,79.4703,0.8401,0.62494,0.85031,0.972,0.98119,0.98131,0.77708,0.78037,0.55021,0.84856,0.0009406,0.0009406,0.0009406
8,91.2639,0.82635,0.60355,0.84871,0.83198,0.88158,0.91903,0.74422,0.75996,0.85898,0.84087,0.0009307,0.0009307,0.0009307
9,102.194,0.8227,0.53939,0.84784,0.90137,0.86452,0.90601,0.72171,0.76485,0.77051,0.84019,0.0009208,0.0009208,0.0009208
10,112.886,0.81634,0.53276,0.84475,0.98746,0.98547,0.99465,0.79926,0.75042,0.44827,0.83913,0.0009109,0.0009109,0.0009109
11,123.652,0.80633,0.51441,0.84271,0.98302,0.98281,0.9946,0.78083,0.82756,0.46708,0.8566,0.000901,0.000901,0.000901
12,134.539,0.81793,0.53365,0.84837,0.99698,0.9981,0.99486,0.81565,0.70542,0.40189,0.83198,0.0008911,0.0008911,0.0008911
13,146.952,0.81333,0.51241,0.84475,0.95965,0.89723,0.98891,0.78004,0.78791,0.53379,0.84934,0.0008812,0.0008812,0.0008812
14,158.809,0.81039,0.49066,0.84435,0.99285,0.99953,0.99487,0.81691,0.70066,0.39203,0.82867,0.0008713,0.0008713,0.0008713
15,170.641,0.79989,0.48626,0.84387,0.99445,0.99545,0.995,0.81985,0.69988,0.39299,0.82818,0.0008614,0.0008614,0.0008614
16,182.595,0.78635,0.46184,0.84221,0.99218,0.99774,0.99497,0.82265,0.69929,0.39799,0.82961,0.0008515,0.0008515,0.0008515
17,194.463,0.78888,0.44275,0.84188,0.99835,0.99896,0.995,0.80917,0.74532,0.37597,0.83541,0.0008416,0.0008416,0.0008416
18,206.485,0.77759,0.43076,0.83799,0.93472,0.98021,0.99489,0.81431,0.7216,0.44463,0.8333,0.0008317,0.0008317,0.0008317
19,218.337,0.77468,0.43793,0.83967,0.99784,1,0.99443,0.81667,0.71364,0.35825,0.8298,0.0008218,0.0008218,0.0008218
20,230.248,0.77279,0.44318,0.83913,0.99736,1,0.99456,0.83102,0.67027,0.34585,0.82271,0.0008119,0.0008119,0.0008119
21,242.174,0.78278,0.43191,0.83762,0.98574,0.99571,0.99455,0.82546,0.69123,0.36597,0.82698,0.000802,0.000802,0.000802
22,254.148,0.76432,0.41911,0.83794,0.99319,0.99795,0.99448,0.83188,0.67518,0.34283,0.82293,0.0007921,0.0007921,0.0007921
23,266.162,0.76839,0.43113,0.83926,0.99813,1,0.995,0.81238,0.7302,0.35445,0.83265,0.0007822,0.0007822,0.0007822
24,278.065,0.75957,0.40952,0.83571,0.99806,1,0.995,0.82062,0.71394,0.3414,0.83313,0.0007723,0.0007723,0.0007723
25,290.168,0.75946,0.41941,0.83593,0.99677,1,0.995,0.81268,0.73863,0.36641,0.83417,0.0007624,0.0007624,0.0007624
26,302.06,0.75453,0.41053,0.83614,0.99841,0.99911,0.995,0.82015,0.70089,0.34067,0.83014,0.0007525,0.0007525,0.0007525
27,313.868,0.74837,0.39314,0.83589,0.98852,0.99198,0.99498,0.81745,0.72892,0.35943,0.83711,0.0007426,0.0007426,0.0007426
28,325.805,0.75866,0.40617,0.83541,0.91041,0.94263,0.96854,0.80485,0.69231,0.505,0.83038,0.0007327,0.0007327,0.0007327
29,337.756,0.75024,0.39154,0.83404,0.99437,0.99728,0.99499,0.81665,0.72163,0.34557,0.83281,0.0007228,0.0007228,0.0007228
30,349.787,0.75812,0.39021,0.83168,0.99733,1,0.99498,0.82817,0.70348,0.31877,0.82949,0.0007129,0.0007129,0.0007129
31,361.779,0.74958,0.3844,0.83791,0.99779,0.9994,0.995,0.83587,0.66157,0.32389,0.82351,0.000703,0.000703,0.000703
32,373.768,0.73774,0.37954,0.83328,0.99812,1,0.99499,0.83138,0.68218,0.32054,0.82636,0.0006931,0.0006931,0.0006931
33,385.624,0.74812,0.3797,0.83543,0.99612,0.99848,0.99487,0.8411,0.66058,0.31028,0.82233,0.0006832,0.0006832,0.0006832
34,397.669,0.73396,0.38332,0.83418,0.92304,0.94972,0.99306,0.83278,0.66592,0.43666,0.82458,0.0006733,0.0006733,0.0006733
35,409.698,0.73461,0.39743,0.83185,0.9974,1,0.995,0.83152,0.66894,0.31856,0.82353,0.0006634,0.0006634,0.0006634
36,421.608,0.7341,0.3801,0.83096,0.99794,0.99948,0.995,0.80867,0.74119,0.3334,0.83515,0.0006535,0.0006535,0.0006535
37,433.654,0.72528,0.36801,0.83234,0.99795,1,0.995,0.83457,0.67269,0.31552,0.8243,0.0006436,0.0006436,0.0006436
38,444.885,0.71872,0.35872,0.82876,0.99783,1,0.995,0.83884,0.66684,0.30907,0.8221,0.0006337,0.0006337,0.0006337
39,457.168,0.72465,0.36206,0.83007,0.9808,0.98911,0.99432,0.83294,0.69173,0.32966,0.82809,0.0006238,0.0006238,0.0006238
40,470.21,0.71835,0.37609,0.82798,0.99745,0.9998,0.99499,0.83738,0.67355,0.31193,0.82381,0.0006139,0.0006139,0.0006139
41,482.923,0.72004,0.36289,0.83299,0.99844,1,0.995,0.84571,0.65121,0.29923,0.82104,0.000604,0.000604,0.000604
42,495.41,0.70843,0.35484,0.83062,0.94696,0.98548,0.99014,0.83167,0.69963,0.37389,0.82819,0.0005941,0.0005941,0.0005941
43,507.946,0.71678,0.35496,0.83081,0.99902,1,0.995,0.84448,0.65336,0.30065,0.82125,0.0005842,0.0005842,0.0005842
44,520.444,0.70794,0.34509,0.82699,0.99898,1,0.995,0.84893,0.64477,0.29949,0.8203,0.0005743,0.0005743,0.0005743
45,532.943,0.71848,0.35207,0.82786,0.99894,0.99946,0.995,0.83704,0.68999,0.31043,0.82615,0.0005644,0.0005644,0.0005644
46,545.426,0.70555,0.35301,0.82713,0.99456,0.99384,0.99414,0.83344,0.68403,0.30935,0.82419,0.0005545,0.0005545,0.0005545
47,557.885,0.70791,0.34894,0.82854,0.98151,0.99424,0.995,0.84611,0.65371,0.31898,0.82062,0.0005446,0.0005446,0.0005446
48,570.339,0.69781,0.34941,0.8267,0.99848,0.99971,0.995,0.84366,0.66721,0.29588,0.82234,0.0005347,0.0005347,0.0005347
49,582.773,0.69508,0.34182,0.82506,0.99856,1,0.995,0.83588,0.6891,0.29503,0.82643,0.0005248,0.0005248,0.0005248
50,595.348,0.70029,0.34064,0.83117,0.99902,0.99975,0.995,0.84429,0.67383,0.29439,0.82385,0.0005149,0.0005149,0.0005149
51,607.914,0.68944,0.34614,0.82498,0.99547,0.99922,0.995,0.84006,0.66192,0.2984,0.82286,0.000505,0.000505,0.000505
52,619.759,0.68115,0.34044,0.82396,0.9985,0.99967,0.995,0.83995,0.68739,0.29719,0.8266,0.0004951,0.0004951,0.0004951
53,631.776,0.6653,0.32927,0.82385,0.99839,0.9997,0.995,0.84545,0.64891,0.28719,0.81989,0.0004852,0.0004852,0.0004852
54,643.756,0.66034,0.32804,0.82203,0.9984,0.9992,0.995,0.83831,0.70016,0.30151,0.82754,0.0004753,0.0004753,0.0004753
