epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0163,1.00555,1.97018,0.89541,0.8235,0.92993,0.92975,0.73679,0.78302,0.89269,0.84891,0.000325,0.000325,0.000325
2,35.9947,0.83519,0.59517,0.85098,0.96505,0.97356,0.99114,0.77071,0.81064,0.5707,0.85555,0.000651816,0.000651816,0.000651816
3,54.4164,0.82583,0.57149,0.84936,0.91988,0.91882,0.96542,0.76156,0.7966,0.60711,0.85405,0.000972032,0.000972032,0.000972032
4,72.8799,0.83035,0.52097,0.85292,0.99318,0.99166,0.995,0.81021,0.7178,0.39338,0.83651,0.0009703,0.0009703,0.0009703
5,91.6989,0.81259,0.47358,0.84668,0.95787,0.96009,0.98883,0.79218,0.77991,0.43084,0.84723,0.0009604,0.0009604,0.0009604
6,110.348,0.79836,0.46119,0.84473,0.99166,0.99496,0.995,0.81053,0.73299,0.37843,0.84157,0.0009505,0.0009505,0.0009505
7,129.189,0.79894,0.44296,0.8461,0.99126,0.9924,0.9944,0.81938,0.70967,0.38794,0.83241,0.0009406,0.0009406,0.0009406
8,148.103,0.78102,0.43056,0.84381,0.99563,0.99401,0.99499,0.83028,0.66918,0.35442,0.82625,0.0009307,0.0009307,0.0009307
9,166.968,0.7855,0.4237,0.84616,0.99673,0.98976,0.99377,0.8415,0.65361,0.33943,0.82469,0.0009208,0.0009208,0.0009208
10,185.753,0.76548,0.41821,0.83913,0.98298,0.9968,0.99484,0.82092,0.70746,0.33817,0.83609,0.0009109,0.0009109,0.0009109
11,204.631,0.76228,0.39872,0.83862,0.99905,0.99889,0.995,0.83025,0.67464,0.31535,0.82696,0.000901,0.000901,0.000901
12,223.59,0.74891,0.39873,0.83885,0.92347,0.97048,0.99254,0.83606,0.65854,0.38113,0.82351,0.0008911,0.0008911,0.0008911
13,242.442,0.74848,0.39186,0.83771,0.9851,0.98656,0.99481,0.82793,0.67232,0.32305,0.82877,0.0008812,0.0008812,0.0008812
14,261.338,0.74534,0.38432,0.83848,0.99906,0.99979,0.995,0.82734,0.69201,0.30514,0.83157,0.0008713,0.0008713,0.0008713
15,280.094,0.75664,0.38205,0.83909,0.99864,1,0.995,0.82087,0.73499,0.31718,0.83787,0.0008614,0.0008614,0.0008614
16,298.915,0.74436,0.36357,0.8367,0.9991,0.99956,0.995,0.83154,0.67749,0.30078,0.82828,0.0008515,0.0008515,0.0008515
17,317.869,0.7306,0.35951,0.83484,0.99866,1,0.995,0.8347,0.67202,0.2985,0.82881,0.0008416,0.0008416,0.0008416
18,336.645,0.73873,0.36772,0.83636,0.99845,1,0.995,0.82769,0.69531,0.30946,0.83096,0.0008317,0.0008317,0.0008317
19,355.562,0.72083,0.35597,0.83356,0.99824,1,0.995,0.83624,0.68686,0.29628,0.82816,0.0008218,0.0008218,0.0008218
